GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
12614.0609948923,-0.103794531589067,64.57,,,,,,,,,,2023,China
12662.5831692254,-0.0130995013525784,63.56,100.171730041504,,71.9815521240234,6.6,,,100.0,,,2022,China
12617.5051041181,0.0892522000412526,62.512,99.4303970336914,,67.3876190185547,7.0,,5.38360548,100.0,,15.2,2021,China
10408.7195541075,0.238040870229883,61.428,99.0244293212891,,62.2367782592773,7.5,23.0,5.59359741,100.0,,14.9,2020,China
10143.8602206165,0.354740890170827,60.308,98.2354125976562,,57.2754402160645,8.0,20.0,5.3502779,100.0,,14.3,2019,China
9905.40638304527,0.467672053461959,59.152,98.1703567504883,,54.0076217651367,8.6,20.0,5.16790485,100.0,,13.5,2018,China
8817.04560829162,0.605245013482969,57.96,97.922119140625,,51.5827713012695,9.2,22.0,5.06592178,100.0,,13.1,2017,China
8094.39016735149,0.573050906069647,56.736,97.3906173706055,,49.7083587646484,9.9,23.0,4.97955608,100.0,,12.6,2016,China
8016.44559489998,0.581456146657648,55.5,97.1544418334961,,47.4353790283203,10.7,26.0,4.93827963,100.0,23.926817173663,12.2,2015,China
7636.07434020616,0.630326389541893,54.259,97.9485015869141,,43.8821907043457,11.5,26.0,4.77790594,100.0,22.6091537829535,11.9,2014,China
7020.3860742288,0.666072977690069,53.013,102.930908203125,,32.7620315551758,12.5,28.0,4.71490669,100.0,20.2962273802567,11.5,2013,China
6300.58217951734,0.678345458846803,51.765,103.43643951416,93.3106079101562,29.3250408172607,13.5,28.0,4.56584787,99.9,19.9662489377563,11.5,2012,China
5614.38602225277,0.546457594880274,50.511,103.869262695312,92.9864196777344,26.8075294494629,14.6,32.0,4.34274387,99.9,16.7617704327503,11.3,2011,China
4550.47394356715,0.482959688678361,49.226,105.000213623047,91.5271835327148,25.2860698699951,15.7,33.0,4.23068333,99.7,18.6228260527723,12.3,2010,China
3832.2274569094,0.497381400884935,47.88,106.631637573242,88.7780380249023,23.2702102661133,17.0,34.0,4.34958458,99.1,17.8637981987375,13.4,2009,China
3468.32706307504,0.51238693163744,46.539,107.430740356445,82.9210891723633,21.8546905517578,18.5,38.0,3.900002,98.8,17.7374440648538,14.1,2008,China
2693.95873160283,0.522271866392275,45.199,106.728660583496,78.3460006713867,21.4464302062988,20.1,39.0,3.67491412,98.5,15.263347136776,14.9,2007,China
2099.2194300499,0.558374367373002,43.868,106.496429443359,74.2114868164062,20.509880065918,21.9,43.0,3.94742203,98.2,15.5927834152258,16.4,2006,China
1753.41419160544,0.588124989556992,42.522,,,18.5551490783691,24.0,46.0,4.17605019,97.9,16.1750249753446,17.4,2005,China
1508.66791560781,0.593932815112141,41.144,,,16.7798404693604,26.3,49.0,4.29347467,97.7,16.2232664186372,20.2,2004,China
1288.63749134336,0.622860936133583,39.776,,64.06201171875,14.391209602356,28.9,43.0,4.41762781,97.4,15.0370403322247,23.9,2003,China
1148.51425710711,0.669999567758626,38.425,,62.8491706848145,11.7157096862793,31.5,54.0,4.38285255,97.2,17.6186278990475,27.0,2002,China
1053.11231442789,0.726380637838525,37.093,115.909858703613,62.1108283996582,9.22885990142822,34.1,55.0,4.25330067,97.0,18.9585191657511,28.4,2001,China
959.360431369138,0.787956592953992,35.877,,59.2292213439941,7.55849981307983,36.7,58.0,4.50828123,96.7,16.6394981921286,29.6,2000,China
873.292336318005,0.865851392993279,34.865,,58.2373085021973,6.62028980255127,39.1,,,,16.6814659250101,30.3,1999,China
828.594691043134,0.959550406298151,33.867,109.920471191406,,6.2884202003479,41.4,,,,18.0611563169165,29.5,1998,China
781.74256121344,1.02345002419879,32.883,110.21012878418,54.2526817321777,5.82305002212524,43.6,,,,17.5124660177764,30.0,1997,China
709.415888233368,1.04814151412165,31.916,110.350860595703,51.8940887451172,5.29578018188477,45.6,,,,17.5522106198623,30.5,1996,China
609.604337927454,1.08650915088974,30.961,111.240463256836,48.663631439209,4.67359018325806,47.5,,,,19.2141393015674,29.4,1995,China
473.489916407064,1.13026063215591,30.024,110.52970123291,47.0254516601562,3.77981996536255,49.3,,,,18.0884357039359,31.1,1994,China
377.3898394789,1.14961943083465,29.103,111.76912689209,46.7970199584961,2.93639993667603,50.9,,,,18.1252601684878,31.5,1993,China
366.460692306116,1.2255362283362,28.2,113.808631896973,44.5318794250488,2.8197500705719,52.2,,,,17.5846836703706,32.8,1992,China
333.142145400184,1.36443400840349,27.312,116.541816711426,41.6763000488281,2.88530993461609,53.2,,,,18.4711307876776,33.1,1991,China
317.884673040928,1.46730321087928,26.442,119.836502075195,39.0901184082031,3.00149011611938,53.7,,,,20.4079398906752,33.9,1990,China
310.8819124049,1.53316999599862,25.701,126.830001831055,38.2257308959961,3.01467990875244,54.0,,,,,,1989,China
283.537695240524,1.61007108578698,24.974,131.506958007812,37.2135391235352,3.08643007278442,54.0,,,,,,1988,China
