GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
2484.8454294403,0.805014301342575,36.364,112.03099822998,76.5410003662109,33.117000579834,,,,,,,2023,India
2366.30960899931,0.680372581057012,35.872,111.083999633789,78.8130035400391,32.6699981689453,29.1,,,99.2,,,2022,India
2250.1790176424,0.797216093898126,35.393,102.31600189209,78.0630035400391,31.5739994049072,30.6,,3.28,99.6,,34.9,2021,India
1915.55158799947,0.95522085775158,34.926,101.291000366211,75.109001159668,29.8199996948242,32.4,103.0,3.34,96.5,,36.1,2020,India
2050.16380022056,1.02531077187097,34.472,99.5039978027344,75.5255813598633,29.0230007171631,34.3,116.0,2.95,95.9,,33.5,2019,India
1974.37773145023,1.08752772157855,34.03,101.097999572754,75.7847900390625,28.5319995880127,36.4,116.0,2.86,95.7,,32.9,2018,India
1957.96981331058,1.15562449067646,33.6,101.887001037598,74.5972671508789,27.9090003967285,38.7,119.0,2.94,91.8,,32.5,2017,India
1714.27953738629,1.18504622906796,33.182,103.74299621582,76.119987487793,27.3040008544922,41.1,121.0,3.5,89.6,,33.0,2016,India
1590.17433134297,1.18779532005068,32.777,104.22200012207,74.9483337402344,27.2849998474121,43.6,128.0,3.6,88.0,15.3430503454798,33.4,2015,India
1559.86377864962,1.24036218382689,32.384,103.556999206543,75.3183288574219,25.9909992218018,46.3,135.0,3.62,85.1,16.2538398153488,33.9,2014,India
1438.05700503424,1.29754883539168,32.003,106.096000671387,69.9568023681641,24.3910007476807,49.1,154.0,3.75,83.1,17.3493138262499,34.9,2013,India
1434.01798692108,1.33219204981494,31.634,111.775573730469,70.3243865966797,24.9402103424072,52.0,162.0,3.33,79.9,15.732973360913,34.8,2012,India
1449.60330101112,1.36158808453343,31.276,109.708000183105,68.5910110473633,23.8250007629395,55.0,170.0,3.25,79.5,17.316962856526,35.0,2011,India
1350.63447029137,1.37759581159767,30.93,112.527946472168,65.3513488769531,18.6971797943115,58.1,179.0,3.27,76.3,16.0437444354595,36.2,2010,India
1096.63613606381,1.39119493033754,30.587,113.051681518555,61.8002281188965,16.8205890655518,61.3,207.0,3.49,75.0,15.6600552489802,37.4,2009,India
993.503405259298,1.42239150883577,30.246,114.626556396484,62.6794281005859,15.8141202926636,64.5,221.0,3.51,74.1,16.5098337370558,39.4,2008,India
1022.73246703925,1.46637175001498,29.906,114.114318847656,59.5899810791016,13.8339099884033,67.8,234.0,3.52,72.3,17.8640856862195,41.5,2007,India
802.01374204361,1.52430796041014,29.569,,57.2240791320801,12.1438102722168,71.1,248.0,3.63,67.9,17.5404247180092,43.2,2006,India
