GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
1407.02135059495,1.9571034315941,38.04,,,13.4290599822998,,,,,,,2023,Pakistan
1589.26398049714,1.89324559780014,37.731,,,12.6965999603271,61.0,,,95.0,,,2022,Pakistan
1506.10829305917,1.83406208240793,37.44,84.3679962158203,41.8549995422363,12.5979995727539,63.0,,2.91131568,94.9,,41.6,2021,Pakistan
1322.31478539554,1.73302782045863,37.165,,,11.944239616394,65.1,154.0,2.95273018,94.5,,42.7,2020,Pakistan
1437.1658330724,1.6079813474837,36.907,83.1845779418945,39.6166496276855,11.3470001220703,67.3,179.0,2.84736943,93.9,,45.9,2019,Pakistan
1620.74259148331,1.5371724033626,36.666,82.0333099365234,37.74951171875,8.39200019836426,69.4,178.0,2.82844949,93.4,,43.4,2018,Pakistan
1567.6406123353,1.32813543357738,36.442,78.8430633544922,35.8526802062988,8.80099964141846,71.6,177.0,2.7863009,92.7,,42.1,2017,Pakistan
1468.82208238833,1.20405567252781,36.234,79.839973449707,36.3533706665039,8.47799968719482,73.8,188.0,2.57026362,91.8,,43.7,2016,Pakistan
1421.83527830089,1.29655172364692,36.026,74.8479919433594,35.1742515563965,8.61200046539307,76.1,187.0,2.45764351,91.0,31.4303497172134,45.9,2015,Pakistan
1303.18536985282,1.40918297342086,35.819,74.3189010620117,33.2142181396484,8.92599964141846,78.4,210.0,2.45603824,90.1,31.1025535574083,47.2,2014,Pakistan
1259.66836828623,1.53689764905925,35.613,70.2436370849609,32.1165084838867,8.89700031280518,80.6,206.0,2.4017837,89.3,31.0061877858488,48.1,2013,Pakistan
1236.89276298823,1.7979754297027,35.408,70.7852478027344,31.2602005004883,8.49699974060059,82.9,216.0,2.20038652,88.6,31.0605981794538,47.2,2012,Pakistan
1161.04432084751,2.11083457768435,35.202,71.025993347168,30.3576793670654,7.46099996566772,85.1,217.0,2.14016914,87.8,29.9894836470712,46.8,2011,Pakistan
1011.59718017727,2.25257934512803,34.997,74.5180969238281,29.8961391448975,,87.3,230.0,2.39686537,87.1,33.7038057297847,47.4,2010,Pakistan
985.349300762774,2.2291625346925,34.793,74.1731033325195,29.5907192230225,6.09046983718872,89.3,243.0,2.47458911,82.5,29.4608681061694,46.4,2009,Pakistan
1087.51477702611,2.17888921699852,34.59,73.9127197265625,29.6895599365234,4.97444009780884,91.2,241.0,2.71266913,81.4,30.3265805099546,46.6,2008,Pakistan
1012.18279419002,2.14152397156301,34.387,74.2201995849609,29.4775695800781,5.02788019180298,93.0,253.0,2.81689191,80.2,30.0090946153605,44.9,2007,Pakistan
909.032403273312,2.0985131417675,34.184,69.8638076782227,27.5696792602539,4.45320987701416,94.8,270.0,2.86177492,79.1,32.5343895410994,47.0,2006,Pakistan
832.751137517234,2.15849215504399,33.982,73.1828079223633,22.8122806549072,4.37540006637573,96.6,301.0,2.55108738,78.1,32.9620096337673,48.0,2005,Pakistan
774.785335734991,2.23514920732307,33.781,69.646858215332,21.908519744873,3.0025999546051,98.5,334.0,2.22177458,77.0,29.9793294327856,47.9,2004,Pakistan
